average_interest,average_interest_per_cell,volatility,algorithm,drones_amount,folder,,
0,0,0,,0,,,
21007403.7616699,3894.58727505931,5029759.5658017,,,results/Cluster/dronesAmount=2,cellSize=10,2024-11-17 16:22:38
11373541.76113,2108.55427532999,1970699.61491723,,,results/Cluster/dronesAmount=4,cellSize=10,2024-11-17 16:30:47
5879962.99080001,1090.09325005562,723257.081833963,,,results/Cluster/dronesAmount=8,cellSize=10,2024-11-17 16:38:49
8407409.94824247,2426.38093744372,1621263.69671419,,,results/Cluster/dronesAmount=4,cellSize=10,2024-11-17 18:35:25
20359411.5227301,3774.45523224511,4834869.85375346,,,results/EqualAreas/dronesAmount=2,cellSize=10,2024-11-17 15:59:48
10506597.31214,1947.83042494253,1723748.52221147,,,results/EqualAreas/dronesAmount=4,cellSize=10,2024-11-17 16:07:30
5177621.38609997,959.885314441968,590620.487659552,,,results/EqualAreas/dronesAmount=8,cellSize=10,2024-11-17 16:14:38
7386267.41641252,2131.67890805556,1531949.4764045,,,results/EqualAreas/dronesAmount=4,cellSize=10,2024-11-17 17:56:55
20315673.3370801,3766.34655859847,4852929.14322837,,,results/EqualInterest/dronesAmount=2,cellSize=10,2024-11-17 15:36:01
10487050.86317,1944.20668579348,1731075.62552944,,,results/EqualInterest/dronesAmount=4,cellSize=10,2024-11-17 15:44:04
5173849.23764995,959.185991407109,592994.461307052,,,results/EqualInterest/dronesAmount=8,cellSize=10,2024-11-17 15:52:04
7376242.10983256,2128.78560168328,1522893.35899297,,,results/EqualInterest/dronesAmount=4,cellSize=10,2024-11-17 17:18:01
31636089.0683199,5865.05173680383,11508811.0857126,,,results/Greedy/dronesAmount=2,cellSize=10,2024-11-18 12:02:59
19157612.7215299,3551.65233992026,5158487.46660182,,,results/Greedy/dronesAmount=4,cellSize=10,2024-11-18 12:11:29
13386779.1054051,3863.42831324824,2435699.2294624,,,results/Greedy/dronesAmount=4,cellSize=10,2024-11-18 13:27:08
11384797.15255,2110.64092557471,2351807.76921219,,,results/Greedy/dronesAmount=8,cellSize=10,2024-11-18 12:22:07
